summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
Eq2hhPsbEpmxji6clGmAsh8xF4ylM2RZ0oy-t-O-AYR48Ws,Greggers,81,I,64,55,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,
2_ol2vbbq8kvV0kdv-_RXiqQQWRIZS5neS_NAnmVIBF4tiw,Stone Wildman,91,I,135,122,TRUE,FALSE,FALSE,FALSE
,,,,,,,,,
SIHfrzjNW4UE_1FeomLCos0QAhK4QNDEJ5Cvncrdfk7gwhk,Scroody,69,I,179,180,TRUE,FALSE,FALSE,FALSE
,,,,,,,,,
HD7_V7E8WWcKo2XW1UGRiXbHu5o_83ZN6SCm62IySfk8BgI,school phobia,267,I,141,106,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
KfGTtKJ-z-LjJMndOiFJym5PjFTlJnYH3_UNAIECggoTzIoX,Q1GuaideShangdan,221,I,120,98,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
JCV5Ri33siFbpjlgbdq13v7LBV3sdyUC9sSPEIUvwYOGnuFk,eau de jouvence,17,I,112,111,FALSE,FALSE,TRUE,TRUE
,,,,,,,,,
s8iplrp3X95y3NdHKF1BST0vmZfFPlrP83lbr8Pz2tVo7TFR,lpl aggression7,214,I,229,210,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
71CtCoW4upqz_0sEXLk3D0gP7PiyYkVTnN52D7rTq-NZPAU,TTW zoiren,26,I,119,118,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
#NAME?,IMM TiagoJPF,214,I,129,118,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
x_felTWCPt--ZaDN8aDTqIiGurS1FMtHtS4YU9jgyV79ODE,Legions1,1,I,43,44,FALSE,FALSE,TRUE,TRUE
,,,,,,,,,
PT_sVc16CofpqDBAwP423KXCaFryFidV0OjhHr8YhSzMHqu5,El BormașinaX,53,I,183,188,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
